Kasus,Maskulinum,Femininum,Neutrum,Plural
Nominativ,ein alter Mann,eine schöne Frau,ein kleines Kind,große Kinder
Akkusativ,einen alten Mann,eine schöne Frau,ein kleines Kind,große Kinder
Dativ,einem alten Mann,einer schönen Frau,einem kleinen Kind,großen Kindern
Genitiv,eines alten Mannes,einer schönen Frau,eines kleinen Kindes,großer Kinder
