Kasus,Maskulinum,Femininum,Neutrum,Plural
Nominativ,alter Mann,schöne Frau,kleines Kind,große Kinder
Akkusativ,alten Mann,schöne Frau,kleines Kind,große Kinder
Dativ,altem Mann,schöner Frau,kleinem Kind,großen Kindern
Genitiv,alten Mannes,schöner Frau,kleinen Kindes,großer Kinder
